artist,debut,popularity,members,genre,country,gender
Lil Uzi Vert,2014,51,Solo,Hip Hop,US,Male
Tory Lanez,2012,52,Solo,Hip Hop,CA,Male
Duki,1996,54,Solo,Hip Hop,AR,Male
Druski,2024,55,Solo,Hip Hop,US,Male
G-Eazy,2011,56,Solo,Hip Hop,US,Male
DaBaby,2016,57,Solo,Hip Hop,US,Male
Ty Dolla $ign,2011,58,Solo,Hip Hop,US,Male
Migos,2011,60,Group,Hip Hop,US,Male
Childish Gambino,2011,62,Solo,Hip Hop,US,Male
Dax,2017,63,Solo,Hip Hop,US,Male
NLE Choppa,2018,66,Solo,Hip Hop,US,Male
Pop Smoke,2019,67,Solo,Hip Hop,US,Male
Nelly,2000,69,Solo,Hip Hop,US,Male
6ix9ine,2017,73,Solo,Hip Hop,US,Male
Macklemore,2005,73,Solo,Hip Hop,US,Male
Mac Miller,2010,76,Solo,Hip Hop,US,Male
Polo G,2018,77,Solo,Hip Hop,US,Male
Rod Wave,2018,78,Solo,Hip Hop,US,Male
La Santa Grifa,2017,81,Group,Hip Hop,MX,Male
Jack Harlow,2015,82,Solo,Hip Hop,US,Male
BigXthaPlug,2020,84,Solo,Hip Hop,US,Male
Swae Lee,2018,85,Solo,Hip Hop,US,Male
Ludacris,2000,86,Solo,Hip Hop,US,Male
Timbaland,1997,87,Solo,Hip Hop,US,Male
NF,2014,90,Solo,Hip Hop,US,Male
Ninho,2017,91,Solo,Hip Hop,FR,Male
Odetari,2023,92,Solo,Hip Hop,US,Male
mgk,2010,93,Solo,Hip Hop,US,Male
SuicideboyS,2014,94,Group,Hip Hop,US,Male
Kevin Gates,2009,95,Solo,Hip Hop,US,Male
Rick Ross,2006,97,Solo,Hip Hop,US,Male
Trippie Redd,2017,98,Solo,Hip Hop,US,Male
Lil Tjay,2018,100,Solo,Hip Hop,US,Male
Ren,2016,101,Solo,Hip Hop,GB,Male
Connor Price,2018,102,Solo,Hip Hop,CA,Male
Werenoi,2021,103,Solo,Hip Hop,FR,Male
Gucci Mane,2005,105,Solo,Hip Hop,US,Male
Offset,2015,106,Solo,Hip Hop,US,Male
Rae Sremmurd,2014,108,Group,Hip Hop,US,Male
Meek Mill,2011,109,Solo,Hip Hop,US,Male
Moneybagg Yo,2016,110,Solo,Hip Hop,US,Male
Kid Cudi,2009,111,Solo,Hip Hop,US,Male
Fetty Wap,2015,113,Solo,Hip Hop,US,Male
Bhad Bhabie,2017,114,Solo,Hip Hop,US,Female
Ice Spice,2021,115,Solo,Hip Hop,US,Female
Lil Pump,2017,116,Solo,Hip Hop,US,Male
Lil Yachty,2015,117,Solo,Hip Hop,US,Male
Latto,2016,119,Solo,Hip Hop,US,Female
Quavo,2017,120,Solo,Hip Hop,US,Male
Iggy Azalea,2013,121,Solo,Hip Hop,AU,Female
A Boogie Wit da Hoodie,2016,123,Solo,Hip Hop,US,Male
Outkast,1993,124,Group,Hip Hop,US,Mixed
T.I.,2001,125,Solo,Hip Hop,US,Male
Russ,2012,127,Solo,Hip Hop,US,Male
B.o.B.,2008,129,Solo,Hip Hop,US,Male
2 Chainz,2010,130,Solo,Hip Hop,US,Male
Ken Carson,2018,134,Solo,Hip Hop,US,Male
Keemokazi,2020,135,Solo,Hip Hop,US,Male
Sexyy Red,2019,136,Solo,Hip Hop,US,Female
Tiakola,2019,137,Solo,Hip Hop,FR,Male
PNL,2015,141,Group,Hip Hop,FR,Male
The Game,2003,142,Solo,Hip Hop,US,Male
Soulja Boy,2007,143,Solo,Hip Hop,US,Male
Chief Keef,2012,144,Solo,Hip Hop,US,Male
SDM,2019,145,Solo,Hip Hop,FR,Male
Niska,2015,146,Solo,Hip Hop,FR,Male
Wale,2008,148,Solo,Hip Hop,US,Male
Busta Rhymes,1996,151,Solo,Hip Hop,US,Male
Sleepy Hallow,2018,152,Solo,Hip Hop,US,Male
Dave,2016,159,Solo,Hip Hop,GB,Male
Yeat,2018,160,Solo,Hip Hop,US,Male
Key Glock,2017,164,Solo,Hip Hop,US,Male
Nas,1994,166,Solo,Hip Hop,US,Male
YG,2010,168,Solo,Hip Hop,US,Male
Tommy Richman,2016,172,Solo,Hip Hop,US,Male
Lacrim,2010,175,Solo,Hip Hop,FR,Male
JID,2015,176,Solo,Hip Hop,US,Male
Logic,2014,177,Solo,Hip Hop,US,Male
Booba,2002,178,Solo,Hip Hop,FR,Male
Young Dolph,2010,179,Solo,Hip Hop,US,Male
Juicy J,2002,180,Solo,Hip Hop,US,Male
BossMan Dlow,2020,181,Solo,Hip Hop,US,Male
Rich The Kid,2014,183,Solo,Hip Hop,US,Male
Wu-Tang Clan,1992,184,Group,Hip Hop,US,Male
ScHoolboy Q,2011,190,Solo,Hip Hop,US,Male
Ja Rule,1999,191,Solo,Hip Hop,US,Male
A$AP Ferg,2013,192,Solo,Hip Hop,US,Male
Coi Leray,2018,193,Solo,Hip Hop,US,Female
Chance the Rapper,2012,194,Solo,Hip Hop,US,Male
Tee Grizzley,2017,196,Solo,Hip Hop,US,Male
NAV,2015,198,Solo,Hip Hop,CA,Male
Flo Milli,2019,203,Solo,Hip Hop,US,Female
HONNE,2015,0,Group,Indie,GB,Male
A Great Big World,2014,0,Group,Indie,US,Male
Soft Cell,1981,0,Group,Indie,GB,Male
Walk off the Earth,2007,0,Group,Indie,CA,Mixed
Magdalena Bay,2017,0,Group,Indie,US,Female
ANAVITÓRIA,2015,0,Group,Indie,BR,Female
Takagi & Ketra,2017,0,Group,Indie,IT,Male
Chappell Roan,2017,1,Solo,Indie,US,Female
Alex Warren,2021,2,Solo,Indie,US,Male
Twenty One Pilots,2009,3,Group,Indie,US,Male
Hozier,2013,5,Solo,Indie,IE,Male
Cigarettes After Sex,2012,6,Group,Indie,US,Male
Lorde,2013,7,Solo,Indie,NZ,Female
Forrest Frank,2023,8,Solo,Indie,US,Male
d4vd,2021,9,Solo,Indie,US,Male
The Marías,2017,11,Group,Indie,US,Mixed
Melanie Martinez,2012,12,Solo,Indie,US,Female
sombr,2021,13,Solo,Indie,US,Male
Conan Gray,2018,15,Solo,Indie,US,Male
TV Girl,2013,16,Group,Indie,US,Male
Lana Del Rey,2012,16,Solo,Indie,US,Female
Clairo,2017,17,Solo,Indie,US,Female
Empire of Thr Sun,2008,18,Group,Indie,AU,Male
PinkPantheress,2021,20,Solo,Indie,GB,Female
Bernadya,2023,21,Solo,Indie,ID,Female
Florence + The Machine,2009,22,Group,Indie,GB,Female
Julieta Venegas,1998,23,Solo,Indie,MX,Female
Belanova,2003,25,Group,Indie,MX,Mixed
Imogen Heap,1998,26,Solo,Indie,GB,Female
Natalia Lafourcade,2002,28,Solo,Indie,MX,Female
Gigi Perez,2021,31,Solo,Indie,US,Female
David Kushner,2022,32,Solo,Indie,US,Male
Fourtwnty,2015,33,Group,Indie,ID,Male
IV Of Spades,2016,33,Group,Indie,PH,Male
Foster the People,2011,34,Group,Indie,US,Male
Artemas,2020,36,Solo,Indie,GB,Male
girl in red,2018,40,Solo,Indie,NO,Female
AJR,2013,41,Group,Indie,US,Male
Vance Joy,2013,42,Solo,Indie,AU,Male
Ben&Ben,2016,43,Group,Indie,PH,Mixed
Oliver Tree,2017,45,Solo,Indie,US,Male
Danny Go!,2019,48,Solo,Indie,US,Male
Bon Iver,2008,50,Group,Indie,US,Male
Birdy,2011,51,Solo,Indie,GB,Female
Sevdaliza,2015,52,Solo,Indie,NL,Female
M83,2001,54,Group,Indie,FR,Mixed
Paris Paloma,2020,56,Solo,Indie,GB,Female
Kimbra,2011,57,Solo,Indie,US,Female
Alex G,2010,59,Solo,Indie,US,Male
Capital Cities,2010,60,Group,Indie,US,Male
ROLE MODEL,2017,62,Solo,Indie,US,Male
Of Monsters and Men,2012,65,Group,Indie,IS,Mixed
Pamungkas,2018,67,Solo,Indie,ID,Male
Ed Maverick,2018,69,Solo,Indie,Mx,Male
Beach House,2006,70,Group,Indie,US,Mixed
Lizzy McAlpine,2019,71,Solo,Indie,US,Female
fun.,2009,73,Group,Indie,US,Male
Sub Urban,2019,74,Solo,Indie,US,Male
Lykke Li,2008,75,Solo,Indie,SE,Female
Phoebe Bridgers,2017,76,Solo,Indie,US,Female
Latin Mafia,2021,77,Group,Indie,MX,Male
Na,2013,79,Solo,Indie,US,Male
Jósean Log,2016,82,Solo,Indie,MX,Male
Ricky Montgomery,2014,83,Solo,Indie,US,Male
Jack Stauber,2013,85,Solo,Indie,US,Male
Sasha Alex Sloan,2018,87,Solo,Indie,US,Female
Suki Waterhouse,2016,91,Solo,Indie,US,Female
Faye Webster,2013,91,Solo,Indie,US,Female
Two Feet,2016,93,Solo,Indie,US,Male
HAIM,2012,94,Group,Indie,US,Female
Madcon,2004,95,Group,Indie,NO,Male
The xx,2009,101,Group,Indie,GB,Mixed
Men I Trust,2014,102,Group,Indie,CA,Mixed
Lilly Wood and the Prick,2010,108,Group,Indie,FR,Mixed
Anggi Marito,2021,110,Solo,Indie,ID,Female
Cavetown,2015,110,Solo,Indie,GB,Male
Em Beihold,2017,112,Solo,Indie,US,Female
Matt Hansen,2021,113,Solo,Indie,US,Male
Novo Amor,2014,114,Solo,Indie,GB,Male
Natalie Jane,2021,116,Solo,Indie,US,Female
Sufjan Stevens,2003,117,Solo,Indie,US,Male
Woodkid,2013,118,Solo,Indie,FR,Male
TIAGO IORC,2008,119,Solo,Indie,BR,Male
Jaymes Young,2013,120,Solo,Indie,US,Male
Renee Rapp,2022,121,Solo,Indie,US,Female
Phoenix,1999,123,Group,Indie,FR,Male
SYML,2016,124,Solo,Indie,US,Male
Sushant KC,2016,126,Solo,Indie,NP,Male
Beach Weather,2016,128,Group,Indie,US,Male
Monde des Titounis,2017,134,Group,Indie,FR,Mixed
I,2017,134,Group,Indie,IN,Mixed
Rosa Linn,2021,135,Solo,Indie,AM,Female
Rachel Platten,2011,138,Solo,Indie,US,Female
inigo quintero,2022,139,Solo,Indie,ES,Male
Little Big,2014,140,Group,Indie,RU,Mixed
Çilgin Dondurmaci,2021,142,Solo,Indie,TR,Male
Payung Teduh,2010,143,Group,Indie,ID,Mixed
Alec Benjamin,2018,145,Solo,Indie,US,Male
Dhruv,2020,145,Solo,Indie,Korea,Male
BENEE,2017,150,Solo,Indie,NZ,Female
Benee,2017,150,Solo,Indie,NZ,Female
Gotye,2006,152,Solo,Indie,AU,Male
Iniko,2018,153,Solo,Indie,US,Male
Adie,2020,154,Solo,Indie,PH,Female
Paolo Nutini,2007,156,Solo,Indie,GB,Male
Lyn Lapid,2020,157,Solo,Indie,US,Female
Royel Otis,2021,159,Group,Indie,AU,Male
Cults,2011,164,Group,Indie,US,Mixed
Caloncho,2015,167,Solo,Indie,MX,Male
BoyWithUke,2021,170,Solo,Indie,US,Male
Ari Abdul,2022,171,Solo,Indie,US,Female
Zeeba,2016,172,Solo,Indie,BR,Male
hannah bahng,2023,173,Solo,Indie,AU,Female
Rainbow Kitten Surprise,2013,176,Group,Indie,US,Mixed
Idgitaf,2020,178,Solo,Indie,ID,Female
Bishop Briggs,2016,182,Solo,Indie,US,Female
Louis Tomlinson,2017,184,Solo,Indie,GB,Male
Bakar,2017,187,Solo,Indie,GB,Male
Bronski Beat,1984,188,Group,Indie,GB,Male
Declan McKenna,2015,190,Solo,Indie,GB,Male
Wilbur Soot,2020,191,Solo,Indie,GB,Male
mxmtoon,2017,193,Solo,Indie,US,Female
Oh Wonder,2015,194,Group,Indie,GB,Mixed
James Marriott,2020,198,Solo,Indie,UK,Male
Jon Dretto,2023,203,Solo,Indie,US,Male
RHYDER,2019,0,Solo,Pop,VN,Male
The Weeknd,2011,1,Solo,Pop,CA,Male
Billie Eilish,2016,2,Solo,Pop,US,Female
Lady Gaga,2008,3,Solo,Pop,US,Female
Justin Bieber,2009,4,Solo,Pop,CA,Male
Taylor Swift,2006,5,Solo,Pop,US,Female
Ariana Grande,2011,6,Solo,Pop,US,Female
Rihanna,2005,8,Solo,Pop,BB,Female
Shakira,1995,9,Solo,Pop,CO,Female
Katy Perry,2007,10,Solo,Pop,US,Female
Selena Gomez,2011,11,Solo,Pop,US,Female
Noah Kahan,2017,11,Solo,Pop,US,Male
Sabrina Carpenter,2014,12,Solo,Pop,US,Female
Ed Sheeran,2009,13,Solo,Pop,GB,Male
Dua Lipa,2015,14,Solo,Pop,GB,Female
Jason Derulo,2010,15,Solo,Pop,US,Male
Adele,2008,17,Solo,Pop,GB,Female
Beyoncé,2002,18,Solo,Pop,US,Female
Maroon 5,2002,19,Group,Pop,US,Male
Chris Brown,2005,20,Solo,Pop,US,Male
Pitbull,2004,21,Solo,Pop,US,Male
Michael Jackson,1972,22,Solo,Pop,US,Male
Olivia Rodrigo,2016,23,Solo,Pop,US,Female
Benson Boone,2021,25,Solo,Pop,US,Male
Shawn Mendes,2015,26,Solo,Pop,CA,Male
One Direction,2010,27,Group,Pop,GB,Male
Sia,2000,28,Solo,Pop,AU,Female
Tate McRae,2017,29,Solo,Pop,CA,Female
Doja Cat,2014,31,Solo,Pop,US,Female
Teddy Swims,2019,33,Solo,Pop,US,Male
Britney Spears,1999,35,Solo,Pop,US,Female
ZAYN,2016,35,Solo,Pop,GB,Male
Black Eyed Peas,1998,36,Group,Pop,US,Mixed
Harry Styles,2017,37,Solo,Pop,GB,Male
Camila Cabello,2017,38,Solo,Pop,US,Female
GIMS,2013,39,Solo,Pop,FR,Male
Sam Smith,2013,40,Solo,Pop,GB,Male
Demi Lovato,2008,41,Solo,Pop,US,Female
OneRepublic,2007,42,Group,Pop,US,Male
Charli xcx,2012,43,Solo,Pop,GB,Female
Mariah Carey,1990,44,Solo,Pop,US,Female
Halsey,2014,47,Solo,Pop,US,Female
Tyla,2019,48,Solo,Pop,ZA,Female
James Arthur,2012,48,Solo,Pop,GB,Male
Ellie Goulding,2010,49,Solo,Pop,GB,Female
Elton John,1969,50,Solo,Pop,GB,Male
ABBA,1973,53,Group,Pop,SE,Mixed
Miley Cyrus,2007,55,Solo,Pop,US,Female
Madonna,1983,55,Solo,Pop,US,Female
Khalid,2016,58,Solo,Pop,US,Male
Céline Dion,1984,59,Solo,Pop,CA,Female
Kesha,2009,61,Solo,Pop,US,Female
Backstreet Boys,1996,62,Group,Pop,US,Male
Meghan Trainor,2014,63,Solo,Pop,US,Female
Lola Young,2019,64,Solo,Pop,GB,Female
Little Mix,2012,65,Group,Pop,GB,Female
Jessie J,2011,66,Solo,Pop,GB,Female
Anne-Marie,2015,68,Solo,Pop,GB,Female
benny blanco,2018,69,Solo,Pop,US,Male
Bebefinn,2022,69,Solo,Pop,US,Male
Dean Lewis,2017,70,Solo,Pop,AU,Male
The Kid LAROI,2019,72,Solo,Pop,AU,Male
Bebe Rexha,2014,75,Solo,Pop,US,Female
Ava Max,2018,77,Solo,Pop,US,Female
Clean Bandit,2013,78,Group,Pop,GB,Mixed
Jonas Brothers,2006,79,Group,Pop,US,Male
Elvis Presley,1956,80,Solo,Pop,US,Male
Madison Beer,2013,81,Solo,Pop,US,Female
Stromae,2009,82,Solo,Pop,BE,Male
5 Seconds of Summer,2012,83,Group,Pop,AU,Male
Troye Sivan,2012,84,Solo,Pop,AU,Male
JVKE,2020,86,Solo,Pop,US,Male
Kelly Clarkson,2003,88,Solo,Pop,US,Female
RAYE,2016,89,Solo,Pop,GB,Female
Zara Larsson,2012,90,Solo,Pop,SE,Female
INNA,2010,91,Solo,Pop,RO,Female
Mark Ronson,2003,92,Solo,Pop,GB,Male
Fifth Harmony,2013,94,Group,Pop,US,Female
George Michael,1987,95,Solo,Pop,GB,Male
Niall Horan,2017,97,Solo,Pop,IE,Male
Modern Talking,1985,98,Group,Pop,DE,Male
Yuridia,2005,101,Solo,Pop,MX,Female
Robbie Williams,1997,102,Solo,Pop,GB,Male
Myles Smith,2023,103,Solo,Pop,GB,Male
Gwen Stefani,2004,104,Solo,Pop,US,Female
Calum Scott,2017,107,Solo,Pop,GB,Male
Cyndi Lauper,1983,108,Solo,Pop,US,Female
Frank Sinatra,1946,109,Solo,Pop,US,Male
Christina Perry,2011,110,Solo,Pop,US,Female
Alessia Cara,2015,110,Solo,Pop,CA,Female
Michael Buble,2003,111,Solo,Pop,CA,Male
Carly Rae Jepsen,2008,112,Solo,Pop,CA,Female
Addison Rae,2021,114,Solo,Pop,US,Female
Indila,2014,117,Solo,Pop,FR,Female
Lauv,2017,119,Solo,Pop,US,Male
Nick Jonas,2012,120,Solo,Pop,US,Male
will.i.am,2001,122,Solo,Pop,US,Male
Roxette,1986,123,Group,Pop,SE,Mixed
Diamond Platnumz,2012,127,Solo,Pop,TZ,Male
John Mayer,2001,129,Solo,Pop,US,Male
Labrinth,2010,131,Solo,Pop,GB,Male
a-ha,1985,137,Group,Pop,NO,Male
Lukas Graham,2016,139,Group,Pop,DK,Male
Nicole Scherzinger,2007,139,Solo,Pop,JA,Female
Eros Ramazzotti,1985,140,Solo,Pop,IT,Male
Tove Lo.,2014,141,Solo,Pop,SE,Female
Liam Payne,2017,142,Solo,Pop,GB,Male
Dido,1999,143,Solo,Pop,GB,Female
Alphaville,1984,146,Group,Pop,DE,Male
Aitana,2017,147,Solo,Pop,ES,Female
Jess Glynne,2014,148,Solo,Pop,GB,Female
Lyna,2018,148,Solo,Pop,ES,Female
*nsync,1997,149,Group,Pop,US,Male
Mete Kayagil,2023,150,Solo,Pop,TR,Male
Sofia Carson,2015,151,Solo,Pop,US,Female
Pentatonix,2012,153,Group,Pop,US,Mixed
James Charles,2024,154,Solo,Pop,US,Male
Kylie Minogue,1987,156,Solo,Pop,GB,Female
Laura Pausini,1993,158,Solo,Pop,IT,Female
XO Team,2021,160,Group,Pop,US,Mixed
Lyodra,2017,161,Solo,Pop,ID,Female
Music Travel Love,2016,162,Group,Pop,CA,Male
Westlife,1999,174,Group,Pop,IE,Male
Squeezie,2019,175,Solo,Pop,FR,Male
charli d'amelio,2022,176,Solo,Pop,US,Female
LANY,2015,178,Group,Pop,US,Male
Owl City,2007,179,Solo,Pop,US,Male
Bella Poarch,2022,180,Solo,Pop,US,Female
Taio Cruz,2006,181,Solo,Pop,GB,Male
Raim Laode,2018,182,Solo,Pop,ID,Male
CoComelon,2019,183,Group,Pop,US,Mixed
George Ezra,2013,184,Solo,Pop,GB,Male
Conor Maynard,2012,185,Solo,Pop,GB,Male
John Newman,2013,186,Solo,Pop,GB,Male
RIck Astley,1987,187,Solo,Pop,GB,Male
Karina y Marina,2019,188,Group,Pop,ES,Female
Spice Girls,1996,189,Group,Pop,GB,Female
Tones And I,2019,192,Solo,Pop,AU,Female
Julia Michaels,2017,193,Solo,Pop,US,Female
Big Time Rush,2010,196,Group,Pop,US,Male
Leona Lewis,2007,198,Solo,Pop,GB,Female
Ne-Yo,2005,4,Solo,R&B,US,Male
Alicia Keys,2001,5,Solo,R&B,US,Female
Kali Uchis,2015,6,Solo,R&B,CO,Female
Frank Ocean,2011,8,Solo,R&B,US,Male
John Legend,2003,9,Solo,R&B,US,Male
Ciara,2004,14,Solo,R&B,US,Female
Chase Atlantic,2014,15,Group,R&B,AU,Male
Amy Winehouse,2003,16,Solo,R&B,GB,Female
Kehlani,2014,17,Solo,R&B,US,Female
Miguel,2010,18,Solo,R&B,US,Male
"""Earth Wind & Fire""",1971,20,Group,R&B,US,Male
Summer Walker,2018,22,Solo,R&B,US,Female
Steve Lacy,2015,23,Solo,R&B,US,Male
Giveon,2018,24,Solo,R&B,US,Male
Mary J. Blige,1992,25,Solo,R&B,US,Female
Dadju,2017,26,Solo,R&B,FR,Male
Brent Faiyaz,2015,29,Solo,R&B,US,Male
Trey Songz,2005,30,Solo,R&B,US,Male
Tems,2018,33,Solo,R&B,NG,Female
Stevie Wonder,1962,34,Solo,R&B,US,Male
Lionel Richie,1982,37,Solo,R&B,US,Male
Marvin Gaye,1961,38,Solo,R&B,US,Male
Leon Thomas,2018,39,Solo,R&B,US,Male
Keshi,2017,40,Solo,R&B,US,Male
Prince,1978,41,Solo,R&B,US,Male
Tayc,2017,42,Solo,R&B,FR,Male
Lloyd,2004,43,Solo,R&B,US,Male
Janet Jackson,1982,44,Solo,R&B,US,Female
Jessie Reyez,2017,45,Solo,R&B,CA,Female
Rag'n'Bone Man,2012,46,Solo,R&B,GB,Male
Jacquees,2014,46,Solo,R&B,US,Male
blackbear,2013,47,Solo,R&B,US,Male
Mario,1982,48,Solo,R&B,US,Male
Boyz II Men,1994,49,Group,R&B,US,Male
Keyshia Cole,2004,51,Solo,R&B,US,Female
Coco Jones,2011,54,Solo,R&B,US,Female
88rising,2018,55,Group,R&B,US,Mixed
Jorja Smith,2016,56,Solo,R&B,GB,Female
Kool & The Gang,1970,57,Group,R&B,US,Male
Tinashe,2014,58,Solo,R&B,US,Female
Joe Dwet File,2018,59,Solo,R&B,FR,Male
Luther Vandross,1979,66,Solo,R&B,US,Male
Brandy,1994,67,Solo,R&B,US,Female
6LACK,2016,68,Solo,R&B,US,Male
Cassie,2006,71,Solo,R&B,US,Female
Mariah the Scientist,2019,73,Solo,R&B,US,Female
Bazzi,2016,77,Solo,R&B,US,Male
Craig David,2000,81,Solo,R&B,GB,Male
Keri Hilson,2008,83,Solo,R&B,US,Female
Jungle,2013,84,Group,R&B,GB,Male
Chris Grey,2018,85,Solo,R&B,CA,Male
Erykah Badu,1996,87,Solo,R&B,US,Female
Ben E. King,1961,90,Solo,R&B,US,Male
Ray Charles,1957,91,Solo,R&B,US,Male
Omarion,2005,93,Solo,R&B,US,Male
Barry White,1973,94,Solo,R&B,US,Male
Diana Ross,1970,95,Solo,R&B,US,Female
Fantasia,2003,97,Solo,R&B,US,Female
Al Green,1967,98,Solo,R&B,US,Male
Etta James,2010,99,Solo,R&B,US,Female
August Alsina,2013,99,Solo,R&B,US,Male
Tyrese,1998,100,Solo,R&B,US,Male
Leon Bridges,2015,101,Solo,R&B,US,Male
Victoria Monet,2014,103,Solo,R&B,US,Female
Olivia Dean,2019,105,Solo,R&B,GB,Female
Aaliyah,1994,106,Solo,R&B,US,Female
Chaka Khan,1978,107,Solo,R&B,US,Female
Sonder,2017,108,Group,R&B,US,Male
Billy Ocean,1976,110,Solo,R&B,GB,Male
Otis Redding,1964,111,Solo,R&B,US,Male
Keke Palmer,2006,112,Solo,R&B,US,Female
Masego,2016,113,Solo,R&B,US,Male
Kelis,1999,114,Solo,R&B,US,Female
Keith Sweat,1987,116,Solo,R&B,US,Male
Seal,1991,120,Solo,R&B,GB,Male
Maxwell,1996,121,Solo,R&B,US,Male
Donna Summer,1974,123,Solo,R&B,US,Female
Jagged Edge,1997,124,Group,R&B,US,Male
FKA twigs,2012,125,Solo,R&B,GB,Female
R. Kelly,1992,126,Solo,R&B,US,Male
Jennifer Hudson,2008,127,Solo,R&B,US,Female
Anthony Hamilton,2003,128,Solo,R&B,US,Male
Aloe Blacc,2006,131,Solo,R&B,US,Male
The Jacksons,1976,132,Group,R&B,US,Male
Tamia,1998,134,Solo,R&B,CA,Female
DJ FKU,2023,135,Solo,R&B,US,Male
CeeLo Green,2002,136,Solo,R&B,US,Male
Pink Sweat$,2018,138,Solo,R&B,US,Male
KC & The Sunshine Band,1974,142,Group,R&B,US,Mixed
Dionne Warwick,1963,143,Solo,R&B,US,Female
Blackstreet,1993,144,Group,R&B,US,Male
Ginuwine,1996,145,Solo,R&B,US,Male
Solange,2002,147,Solo,R&B,US,Female
Leslie Odom Jr.,2014,148,Solo,R&B,US,Male
Imen Es,2018,153,Solo,R&B,FR,Female
The Isley Brothers,1959,154,Group,R&B,US,Male
Chloe,2021,155,Solo,R&B,US,Female
Kaash Paige,2019,157,Solo,R&B,US,Female
Justine Skye,2013,159,Solo,R&B,US,Female
New Edition,1982,161,Group,R&B,US,Male
Mýa,1998,162,Solo,R&B,US,Female
William Singe,2015,164,Solo,R&B,AU,Male
Faith Evans,1995,165,Solo,R&B,US,Female
Estelle,2004,169,Solo,R&B,GB,Female
Sevyn Streeter,2012,171,Solo,R&B,US,Female
Avant,2000,172,Solo,R&B,US,Female
Majid Jordan,2014,173,Group,R&B,CA,Male
Joe,1993,175,Solo,R&B,US,Male
SiR,2015,177,Solo,R&B,US,Male
Trinidad Cardona,2017,181,Solo,R&B,US,Male
Vedo,2013,182,Solo,R&B,US,Male
Redbone,1970,183,Group,R&B,US,Male
Yseult,2014,184,Solo,R&B,FR,Female
Michael Bolton,1983,185,Solo,R&B,US,Male
4batz,2023,186,Solo,R&B,US,Male
Omar Apollo,2017,187,Solo,R&B,US,Male
Lucky Daye,2019,188,Solo,R&B,US,Male
Eric Bellinger,2013,188,Solo,R&B,US,Male
Rotimi,2009,191,Solo,R&B,US,Male
Halle,2023,197,Solo,R&B,US,Female
Charlie Wilson,1992,199,Solo,R&B,US,Male
Lay Bankz,2020,200,Solo,R&B,US,Female
Guns N' Roses,1987,5,Group,Rock,US,Male
AC/DC,1976,6,Group,Rock,AU,Male
The Beatles,1963,11,Group,Rock,GB,Male
Nirvana,1989,12,Group,Rock,US,Male
Bon Jovi,1984,14,Group,Rock,US,Male
